GivenName,Surname,Gender,Age,Kilograms,Centimeters,BloodType,StateFull
Enzo,Correia,male,63,80.9,185,O+,Tocantins
Joao,Barros,male,69,89.5,184,O+,São Paulo
Thiago,Pinto,male,38,112.7,177,A+,São Paulo
Bianca,Cardoso,female,20,53.9,158,O+,Pernambuco
Ágatha,Souza,female,20,63.5,151,O+,Santa Catarina
Igor,Almeida,male,56,112.5,182,O+,Goiás
Paulo,Rocha,male,77,76.7,171,B-,Paraná
Enzo,Santos,male,61,64.8,179,B+,Paraná
Lucas,Ribeiro,male,84,67.9,171,A+,Goiás
Gabrielly,Melo,female,69,74.7,159,A+,Pará
Carla,Carvalho,female,78,69.4,170,B+,São Paulo
Murilo,Pereira,male,81,78.1,162,O+,Rio de Janeiro
Vinicius,Ribeiro,male,61,105.2,179,O+,São Paulo
Fernanda,Araujo,female,64,53.0,168,O+,São Paulo
Kaua,Oliveira,male,49,74.1,181,A+,Minas Gerais
Luan,Martins,male,63,87.9,168,A+,São Paulo
Sophia,Barros,female,61,53.8,161,B+,São Paulo
Estevan,Costa,male,81,70.3,172,O+,Rio Grande do Norte
Carla,Barbosa,female,67,62.3,170,O+,Paraná
Evelyn,Cunha,female,37,64.2,170,A-,Rio de Janeiro
Larissa,Cardoso,female,22,72.2,171,B-,Mato Grosso do Sul
Isabella,Barros,female,83,49.1,161,O+,Pernambuco
Fernanda,Correia,female,49,90.3,170,B-,Pernambuco
Raissa,Souza,female,19,69.0,173,B+,São Paulo
Camila,Silva,female,37,100.5,163,O+,São Paulo
Luan,Ferreira,male,27,104.3,181,A+,Minas Gerais
Matheus,Souza,male,63,64.8,184,O+,São Paulo
Marcos,Goncalves,male,21,62.4,182,B+,Pernambuco
Aline,Gomes,female,21,96.0,170,O+,São Paulo
Emily,Oliveira,female,35,74.1,171,O+,São Paulo
Marcos,Alves,male,47,74.9,171,O+,Goiás
Ana,Fernandes,female,46,94.5,171,B+,Roraima
Thaís,Dias,female,37,50.9,164,O+,Mato Grosso do Sul
Danilo,Dias,male,79,97.8,181,O+,Santa Catarina
Júlia,Sousa,female,61,97.5,157,O+,Rio Grande do Sul
Gustavo,Alves,male,48,95.0,170,A+,São Paulo
Manuela,Lima,female,35,67.9,165,O-,São Paulo
Tomás,Rodrigues,male,27,104.3,182,B-,São Paulo
Gabriela,Santos,female,35,79.1,167,O+,São Paulo
Otávio,Azevedo,male,54,96.6,174,A+,São Paulo
Livia,Carvalho,female,22,47.4,172,AB+,Rio Grande do Sul
Paulo,Barros,male,26,98.4,168,O+,Pernambuco
Luana,Fernandes,female,73,76.6,161,O+,Minas Gerais
Guilherme,Alves,male,79,60.6,174,B+,Rio Grande do Sul
Brenda,Gomes,female,60,73.5,173,A+,Rio Grande do Norte
Raissa,Cunha,female,46,91.8,156,AB+,Minas Gerais
Clara,Castro,female,58,64.5,169,O+,Minas Gerais
Nicole,Costa,female,51,85.3,173,O+,São Paulo
Bianca,Souza,female,59,80.9,154,O+,Minas Gerais
Marisa,Rodrigues,female,85,72.0,156,A+,Rio de Janeiro
Clara,Lima,female,33,79.2,171,A+,Sergipe
Murilo,Almeida,male,71,91.2,178,O+,São Paulo
Alex,Silva,male,73,67.8,177,O+,São Paulo
Tânia,Alves,female,26,51.2,156,O-,Bahia
Beatrice,Barros,female,81,78.7,164,O-,Minas Gerais
Bianca,Souza,female,75,84.1,168,O+,Rio de Janeiro
Eduardo,Araujo,male,75,63.5,166,O-,Rondônia
Livia,Costa,female,31,87.0,166,O+,Espírito Santo
Fábio,Ribeiro,male,84,84.6,168,AB+,São Paulo
Luan,Silva,male,27,79.2,187,O+,Amazonas
Rafaela,Rocha,female,75,77.9,157,A+,Mato Grosso do Sul
Mariana,Santos,female,39,78.2,164,O+,Pernambuco
Lara,Silva,female,36,69.1,175,B+,Pernambuco
Thiago,Carvalho,male,76,102.7,176,B+,Minas Gerais
Danilo,Barbosa,male,51,100.6,175,B+,Santa Catarina
Mateus,Araujo,male,84,62.9,166,A+,São Paulo
Emily,Santos,female,34,79.8,170,B+,Mato Grosso do Sul
Alice,Rocha,female,82,62.8,158,B+,São Paulo
Luís,Martins,male,65,102.7,174,B+,São Paulo
Gustavo,Sousa,male,34,90.0,168,O+,São Paulo
Giovana,Barbosa,female,56,68.5,160,O-,São Paulo
Julian,Rocha,male,39,85.2,168,AB+,São Paulo
Giovana,Carvalho,female,56,59.1,168,B+,Sergipe
Rebeca,Pinto,female,53,77.0,153,O+,Rio de Janeiro
Cauã,Almeida,male,25,100.0,187,O+,Distrito Federal
Alice,Rodrigues,female,40,98.4,155,A+,São Paulo
Felipe,Pinto,male,29,80.4,182,A+,Santa Catarina
Bruno,Ribeiro,male,52,108.9,188,A+,Rio de Janeiro
Vitór,Cunha,male,71,95.9,166,B+,São Paulo
Thiago,Ferreira,male,83,73.3,167,B+,Distrito Federal
Luís,Azevedo,male,69,98.4,182,O+,São Paulo
Emily,Cunha,female,48,78.1,167,O+,São Paulo
Estevan,Gomes,male,38,88.4,185,A+,São Paulo
Kauã,Almeida,male,28,90.2,173,O-,São Paulo
Carla,Lima,female,32,61.7,168,B+,São Paulo
Estevan,Silva,male,70,65.2,166,A+,Minas Gerais
Vinícius,Ferreira,male,32,64.9,190,A+,São Paulo
Emilly,Cardoso,female,81,68.0,155,A-,São Paulo
Giovana,Barros,female,71,70.7,165,O-,Paraíba
Ana,Barros,female,35,72.3,170,O+,Rio de Janeiro
Thaís,Rodrigues,female,63,80.9,153,AB+,Espírito Santo
Evelyn,Lima,female,80,67.9,164,O+,Pará
João,Lima,male,82,87.5,177,B+,Pará
Beatrice,Fernandes,female,33,57.4,171,AB+,Amazonas
Manuela,Fernandes,female,32,65.4,166,AB+,Rio de Janeiro
Vitoria,Castro,female,84,78.2,170,A+,Pará
Marcos,Carvalho,male,47,65.6,182,B+,Goiás
Samuel,Sousa,male,27,68.3,171,O+,Rio de Janeiro
Caio,Barbosa,male,59,98.2,186,O+,São Paulo
Isabela,Carvalho,female,66,56.6,168,A+,Mato Grosso
Renan,Cardoso,male,40,91.1,184,A+,São Paulo
Diogo,Pereira,male,26,81.5,186,A+,Ceará
Larissa,Carvalho,female,63,84.0,167,O+,São Paulo
Marisa,Goncalves,female,42,102.0,165,B+,Rio de Janeiro
Diego,Alves,male,24,60.1,183,B+,São Paulo
Martim,Alves,male,71,64.7,177,A+,Minas Gerais
Thaís,Cardoso,female,28,55.1,157,A+,Espírito Santo
Manuela,Oliveira,female,39,99.3,174,A+,Amazonas
Renan,Rocha,male,57,63.4,175,O-,Amazonas
Bianca,Cardoso,female,36,78.7,169,A+,Pará
Sarah,Martins,female,75,76.2,158,B+,Rio Grande do Sul
Bruna,Sousa,female,61,53.8,162,B+,São Paulo
Pedro,Goncalves,male,74,97.9,175,AB+,São Paulo
Matilde,Ferreira,female,27,58.7,157,A+,Bahia
João,Martins,male,52,110.9,172,O+,São Paulo
Rafaela,Sousa,female,45,79.4,155,O+,Santa Catarina
Alex,Martins,male,61,109.9,169,O+,Pernambuco
Rafael,Dias,male,77,64.1,162,O+,São Paulo
Sofia,Rocha,female,30,62.0,158,B+,São Paulo
Beatriz,Cardoso,female,56,54.3,169,O+,Alagoas
Emily,Pinto,female,53,88.5,166,A+,Distrito Federal
Alice,Costa,female,27,87.6,165,B+,Rio de Janeiro
Paulo,Ribeiro,male,56,106.1,169,O+,Espírito Santo
Antônio,Barros,male,47,83.6,182,O+,São Paulo
Leonardo,Goncalves,male,28,88.3,178,A+,Pernambuco
Kauê,Barbosa,male,35,83.0,172,A+,Minas Gerais
Davi,Santos,male,32,65.2,184,A+,Ceará
Fernanda,Rocha,female,45,90.8,164,A+,Distrito Federal
Kauê,Rocha,male,55,99.8,182,A+,Rio Grande do Sul
Luiz,Dias,male,62,74.6,172,A+,Minas Gerais
Julia,Barbosa,female,50,89.5,164,O+,Goiás
Isabelle,Araujo,female,60,74.8,173,O+,São Paulo
Nicolas,Oliveira,male,52,107.4,170,O+,Acre
Marisa,Dias,female,62,76.5,170,O-,Paraná
Sarah,Araujo,female,58,53.8,161,B+,São Paulo
Yasmin,Cardoso,female,56,56.5,169,B+,Rio de Janeiro
Raissa,Alves,female,36,85.3,157,A+,São Paulo
Erick,Martins,male,39,69.8,178,B+,Goiás
Vitória,Almeida,female,37,100.2,161,O+,São Paulo
Thaís,Castro,female,39,68.0,167,O+,Rio de Janeiro
Isabella,Carvalho,female,29,74.9,172,B+,Santa Catarina
Matilde,Castro,female,79,84.7,170,B+,Pernambuco
Anna,Cardoso,female,43,77.5,164,A+,Goiás
Guilherme,Alves,male,73,99.9,163,A+,Rio de Janeiro
Kauã,Santos,male,73,75.8,165,A+,Pará
Rafaela,Sousa,female,32,70.4,164,A+,São Paulo
Aline,Pinto,female,76,75.9,163,B+,São Paulo
Fernanda,Melo,female,25,62.6,155,O+,Goiás
Leonor,Fernandes,female,58,67.8,157,B-,São Paulo
Emilly,Sousa,female,34,72.5,173,A+,São Paulo
Raissa,Melo,female,20,47.6,162,A+,São Paulo
Pedro,Almeida,male,69,88.1,169,A+,São Paulo
Maria,Carvalho,female,82,50.9,159,O+,São Paulo
Felipe,Pinto,male,42,86.6,170,A+,São Paulo
Júlio,Martins,male,65,101.8,182,O+,Distrito Federal
Eduardo,Santos,male,83,70.0,174,AB+,São Paulo
Tomás,Alves,male,37,64.2,173,O+,Minas Gerais
Anna,Azevedo,female,48,88.9,174,A+,Bahia
Bianca,Costa,female,31,83.7,164,O+,Pará
Nicolash,Dias,male,42,113.0,168,A+,São Paulo
Alex,Rodrigues,male,55,115.5,174,O+,São Paulo
Livia,Ferreira,female,71,73.1,158,O+,Pará
Daniel,Martins,male,61,102.2,176,O+,Minas Gerais
Mateus,Martins,male,84,101.6,182,O+,Paraná
Enzo,Araujo,male,72,83.5,176,AB+,Rio de Janeiro
Douglas,Cunha,male,54,73.6,184,O+,Ceará
Gabrielle,Sousa,female,60,64.2,157,B+,Rio de Janeiro
Emilly,Rodrigues,female,72,60.8,164,B+,Rio Grande do Norte
Vitór,Castro,male,78,67.6,169,A-,Rio Grande do Sul
Tiago,Melo,male,44,87.7,189,O+,São Paulo
Emilly,Ferreira,female,57,68.0,165,B+,Rio de Janeiro
Gustavo,Alves,male,23,81.8,175,B-,Goiás
Victor,Alves,male,29,106.9,175,O+,Rio Grande do Norte
Maria,Martins,female,43,88.8,172,A+,São Paulo
Douglas,Cavalcanti,male,35,85.3,188,A+,Espírito Santo
Júlia,Oliveira,female,73,93.8,158,O+,Minas Gerais
Vitór,Pereira,male,79,83.3,175,B+,São Paulo
Murilo,Pinto,male,83,87.3,163,O+,Distrito Federal
Rafael,Cavalcanti,male,55,104.5,182,B+,Paraná
Luiza,Sousa,female,80,90.9,155,B+,Pará
Yasmin,Pereira,female,54,52.0,157,A+,São Paulo
Luís,Alves,male,24,61.2,168,O+,Minas Gerais
Clara,Sousa,female,40,62.2,157,A+,Roraima
Paulo,Ribeiro,male,37,79.7,169,O+,São Paulo
Matheus,Goncalves,male,78,63.1,164,B+,São Paulo
Matheus,Martins,male,29,104.9,173,A+,São Paulo
Nicolash,Santos,male,62,70.3,167,B+,Mato Grosso
Rodrigo,Barbosa,male,39,114.0,184,O+,Espírito Santo
Vitória,Ribeiro,female,43,75.5,157,A+,Pernambuco
Beatriz,Rodrigues,female,76,55.0,158,B+,São Paulo
Rafaela,Dias,female,84,66.1,157,A+,São Paulo
Caio,Alves,male,82,98.8,177,A+,Rio Grande do Sul
Kai,Santos,male,66,83.3,169,O+,São Paulo
Maria,Carvalho,female,81,68.0,158,B+,São Paulo
Nicolash,Castro,male,68,67.2,169,A+,Pernambuco
Nicolas,Dias,male,30,85.4,169,B+,Pernambuco
Sofia,Barros,female,33,56.0,169,O+,Maranhão
Gabriel,Cunha,male,36,101.3,170,A+,Rio de Janeiro
Fernanda,Azevedo,female,20,48.6,175,O-,Minas Gerais
Renan,Almeida,male,32,98.1,175,O+,Rio Grande do Sul
Laura,Alves,female,19,71.0,166,O+,Rio Grande do Sul
Antônio,Rodrigues,male,81,96.9,168,B+,São Paulo
Carla,Dias,female,47,73.5,156,O+,Santa Catarina
Laura,Oliveira,female,46,96.8,162,B+,São Paulo
Thiago,Oliveira,male,80,93.0,177,B+,Minas Gerais
Julia,Melo,female,42,81.3,156,A+,São Paulo
Aline,Goncalves,female,82,74.8,162,A+,Minas Gerais
Nicolas,Costa,male,56,100.3,182,O+,São Paulo
Lara,Almeida,female,71,53.3,164,A+,Pará
Sofia,Santos,female,75,62.4,168,O+,Minas Gerais
Nicolash,Barbosa,male,67,70.4,168,O+,São Paulo
Lara,Santos,female,44,76.0,154,O+,Ceará
Matilde,Gomes,female,75,79.3,153,A+,São Paulo
Carolina,Cunha,female,35,60.1,154,B+,São Paulo
Fernanda,Souza,female,44,52.5,162,O+,Rio Grande do Norte
Clara,Barros,female,37,55.3,162,A+,São Paulo
Melissa,Oliveira,female,44,57.7,164,O-,Paraná
Anna,Correia,female,51,100.6,168,A-,Minas Gerais
Maria,Correia,female,50,105.2,154,O-,São Paulo
Carla,Souza,female,42,78.3,160,B+,São Paulo
José,Castro,male,28,99.4,170,O+,Rio de Janeiro
André,Fernandes,male,76,85.6,178,B+,Goiás
Júlio,Carvalho,male,46,111.7,185,A-,São Paulo
Lara,Araujo,female,36,49.1,163,A+,Paraná
Amanda,Rocha,female,35,70.6,158,O+,Goiás
Cauã,Cardoso,male,68,107.0,183,AB+,Sergipe
Pedro,Rodrigues,male,44,108.4,172,A-,Minas Gerais
Luan,Melo,male,29,63.4,189,B+,Pernambuco
Beatrice,Rocha,female,73,70.9,153,A-,Rio de Janeiro
Lavinia,Lima,female,48,94.8,155,O+,Paraná
Alice,Correia,female,23,88.2,155,B+,Minas Gerais
Luiz,Costa,male,40,116.0,188,O-,Rio de Janeiro
Clara,Goncalves,female,21,96.0,155,A+,Paraná
Nicole,Pinto,female,40,57.1,169,O+,Maranhão
Otávio,Cardoso,male,47,79.5,180,A+,Paraná
Julieta,Fernandes,female,31,65.1,165,O-,Piauí
Vinicius,Cavalcanti,male,72,84.7,172,O+,Rio de Janeiro
Marina,Cunha,female,31,93.6,165,O+,Rio de Janeiro
Rafael,Rodrigues,male,74,105.9,177,B-,São Paulo
Joao,Fernandes,male,22,59.6,174,A+,Pernambuco
José,Goncalves,male,56,101.3,173,A+,Bahia
Mateus,Martins,male,61,109.7,185,O+,São Paulo
Gabrielle,Ferreira,female,26,82.6,163,O+,Goiás
Gabriela,Santos,female,22,69.9,156,A+,São Paulo
Douglas,Souza,male,19,83.6,175,B+,Rio de Janeiro
Amanda,Souza,female,84,53.7,156,O+,São Paulo
Evelyn,Martins,female,36,101.1,157,O+,Bahia
Pedro,Rodrigues,male,35,64.6,178,B+,Rio de Janeiro
Joao,Pinto,male,47,74.0,187,A+,São Paulo
Nicolash,Barros,male,48,116.0,182,A+,São Paulo
Isabelle,Pereira,female,22,89.6,156,A+,Minas Gerais
Caio,Martins,male,33,101.2,180,A+,Sergipe
Paulo,Melo,male,80,84.5,183,O+,Roraima
Otávio,Araujo,male,36,81.9,189,A-,Paraná
Júlio,Cardoso,male,47,70.6,178,B+,Paraná
Vinicius,Lima,male,76,98.2,183,B+,São Paulo
Luiz,Dias,male,40,79.9,170,O-,São Paulo
Aline,Carvalho,female,62,85.9,167,A+,São Paulo
Bruno,Oliveira,male,21,78.6,178,O+,Rio de Janeiro
Victor,Barbosa,male,56,96.3,185,B+,São Paulo
Luiz,Fernandes,male,34,72.3,186,O+,Pernambuco
Thaís,Ferreira,female,42,66.4,165,O+,Goiás
Sofia,Silva,female,23,60.7,154,A+,Paraná
Eduardo,Pinto,male,32,75.2,188,A+,Distrito Federal
Laura,Oliveira,female,45,54.5,173,A+,Paraná
Gabriela,Cavalcanti,female,64,68.7,172,B+,Minas Gerais
Danilo,Silva,male,82,81.4,179,O+,São Paulo
Gabriela,Silva,female,37,54.5,174,O+,Minas Gerais
Rafaela,Carvalho,female,61,102.5,161,O-,Acre
Leila,Rodrigues,female,51,94.4,170,B+,São Paulo
Estevan,Rocha,male,69,108.8,163,O+,Goiás
Giovanna,Cavalcanti,female,67,59.9,154,A+,Minas Gerais
Samuel,Azevedo,male,50,90.0,171,O+,Bahia
Antônio,Azevedo,male,83,92.8,172,B-,São Paulo
Júlia,Barbosa,female,27,59.3,170,B+,São Paulo
Gabriel,Cardoso,male,73,93.9,179,A+,São Paulo
Guilherme,Cunha,male,29,95.3,170,O+,Minas Gerais
Rebeca,Cunha,female,49,51.2,173,A+,Minas Gerais
Julieta,Cardoso,female,76,89.1,153,B+,Pará
Douglas,Silva,male,83,100.9,183,O+,Rio de Janeiro
Marcos,Sousa,male,69,63.8,168,O+,São Paulo
Gabriel,Almeida,male,56,88.6,166,A+,São Paulo
Carolina,Costa,female,39,64.8,159,O+,Paraíba
Gabriel,Santos,male,34,65.9,176,O+,Mato Grosso do Sul
Gabrielly,Sousa,female,20,47.5,153,B+,São Paulo
Gabriela,Castro,female,38,99.7,164,O-,Distrito Federal
Tiago,Goncalves,male,25,98.4,183,A+,Tocantins
Kauã,Araujo,male,56,95.7,172,A+,Mato Grosso
Victor,Gomes,male,39,114.5,183,AB+,Minas Gerais
Gabrielly,Cavalcanti,female,70,84.1,162,A+,Pernambuco
Tânia,Costa,female,79,92.3,159,B+,São Paulo
Laura,Melo,female,74,55.9,156,A+,Rio de Janeiro
Nicole,Cardoso,female,68,69.2,156,O+,São Paulo
Beatrice,Barros,female,77,106.7,168,A+,Rio de Janeiro
Emily,Gomes,female,79,48.2,161,A+,São Paulo
Thaís,Azevedo,female,62,77.9,158,A+,Minas Gerais
Pedro,Castro,male,58,73.0,178,A+,São Paulo
Yasmin,Gomes,female,28,83.1,154,O+,Ceará
Beatrice,Martins,female,82,55.9,154,A-,Pernambuco
Fábio,Pinto,male,25,104.3,181,O+,Rio de Janeiro
Diogo,Oliveira,male,76,77.5,181,A+,São Paulo
Julieta,Oliveira,female,82,74.4,151,O+,São Paulo
Diego,Dias,male,81,102.5,167,A+,Minas Gerais
Livia,Dias,female,28,68.7,158,A-,São Paulo
Vitór,Barbosa,male,26,74.3,175,O+,Pernambuco
Gabriel,Carvalho,male,46,108.5,172,A+,Minas Gerais
Vitór,Costa,male,68,84.3,181,B+,São Paulo
Sarah,Cavalcanti,female,57,61.4,168,AB+,Paraná
Larissa,Pinto,female,27,87.1,166,O+,São Paulo
Rodrigo,Correia,male,19,67.9,168,A+,São Paulo
Beatrice,Ferreira,female,83,78.5,154,A+,Sergipe
Tânia,Santos,female,32,67.9,160,O+,Paraná
Erick,Cavalcanti,male,22,62.5,177,A+,Goiás
Kauã,Rocha,male,60,97.4,172,A+,São Paulo
Yasmin,Araujo,female,77,56.1,155,A+,Bahia
Alice,Almeida,female,83,66.9,169,A+,São Paulo
Daniel,Dias,male,55,94.7,184,AB+,São Paulo
Rafael,Azevedo,male,51,109.8,168,B+,Rondônia
Carla,Martins,female,29,92.7,169,AB+,Goiás
Tânia,Fernandes,female,75,87.2,166,A+,Rio de Janeiro
Leonardo,Santos,male,82,90.1,177,B+,São Paulo
Leonardo,Sousa,male,40,66.6,188,A+,Goiás
Vinicius,Almeida,male,24,101.6,182,O+,Minas Gerais
Diego,Azevedo,male,70,89.0,174,O-,São Paulo
Estevan,Souza,male,79,82.4,170,O+,Pará
Cauã,Pereira,male,34,113.0,189,B+,São Paulo
Samuel,Silva,male,52,114.7,176,O+,Minas Gerais
José,Cunha,male,73,102.2,180,B+,São Paulo
Clara,Oliveira,female,79,76.6,150,A+,São Paulo
Emilly,Cavalcanti,female,19,81.9,168,O+,Pará
André,Pereira,male,36,65.8,174,O+,São Paulo
Erick,Castro,male,19,55.8,179,B+,Espírito Santo
Raissa,Almeida,female,79,75.9,168,O-,Rio de Janeiro
Breno,Costa,male,22,83.2,169,A+,São Paulo
Davi,Barros,male,62,92.6,183,B+,Ceará
Enzo,Cardoso,male,40,84.5,177,B+,São Paulo
Joao,Lima,male,38,71.8,189,O+,São Paulo
Alice,Barbosa,female,46,76.7,162,A+,Minas Gerais
Bianca,Alves,female,47,104.7,165,O+,São Paulo
Beatriz,Alves,female,47,80.1,171,O+,São Paulo
Rodrigo,Barros,male,54,102.8,173,O+,Rio Grande do Sul
Leonardo,Barbosa,male,72,91.0,169,A+,Rio de Janeiro
Tomás,Cavalcanti,male,75,90.5,163,O+,São Paulo
Lucas,Ferreira,male,78,95.0,162,A+,Pernambuco
Ana,Almeida,female,76,85.0,157,A+,Rio de Janeiro
Miguel,Alves,male,73,84.6,176,A+,Distrito Federal
Tomás,Gomes,male,23,86.1,176,B+,São Paulo
Otávio,Costa,male,78,85.4,175,AB+,Rio Grande do Sul
Nicolash,Correia,male,55,80.6,187,B+,Goiás
Eduarda,Barros,female,47,67.9,164,A-,Espírito Santo
Gabriel,Castro,male,73,84.0,163,B+,Rio de Janeiro
Amanda,Correia,female,59,67.8,158,O+,São Paulo
Felipe,Alves,male,74,66.0,165,O-,São Paulo
Livia,Fernandes,female,69,82.8,166,B+,São Paulo
Paulo,Almeida,male,42,107.6,188,A+,Pernambuco
Kauan,Cavalcanti,male,65,77.1,181,O+,Minas Gerais
Vinicius,Barbosa,male,74,98.0,176,O+,São Paulo
Kauã,Ribeiro,male,59,87.0,168,O+,Pernambuco
Manuela,Fernandes,female,74,85.4,160,A+,São Paulo
Nicolash,Ribeiro,male,70,104.8,168,A+,Paraná
Ana,Barbosa,female,19,73.0,175,B+,Minas Gerais
Joao,Gomes,male,30,104.2,183,A+,Minas Gerais
Alex,Ferreira,male,47,111.9,172,O+,Bahia
Giovanna,Sousa,female,39,98.4,154,B+,Rio de Janeiro
Fernanda,Martins,female,79,70.0,161,O+,Minas Gerais
Luan,Goncalves,male,82,86.0,179,O+,Rio de Janeiro
Beatriz,Ribeiro,female,75,93.0,166,A+,Paraná
Bruno,Rocha,male,28,74.3,178,B+,Espírito Santo
Rafael,Dias,male,45,65.8,168,B+,São Paulo
Miguel,Almeida,male,71,101.3,172,O+,Minas Gerais
Caio,Pinto,male,50,102.4,171,O+,São Paulo
Luana,Silva,female,63,98.7,164,O+,Ceará
Leonardo,Cavalcanti,male,83,93.2,174,A+,Minas Gerais
Leonor,Castro,female,31,65.4,164,B+,Bahia
Larissa,Silva,female,48,62.4,167,O+,São Paulo
Luiz,Gomes,male,85,97.8,164,O+,Rio de Janeiro
Alex,Cunha,male,66,97.7,185,O+,Piauí
Larissa,Ferreira,female,80,85.1,158,AB+,Goiás
Guilherme,Cardoso,male,37,71.6,179,B+,São Paulo
Carolina,Martins,female,40,92.5,164,O-,São Paulo
Sofia,Castro,female,43,94.3,167,A+,Minas Gerais
Leonor,Oliveira,female,52,100.6,156,AB+,Rio Grande do Norte
Kauã,Azevedo,male,84,85.3,176,A+,Minas Gerais
Vinicius,Carvalho,male,59,92.9,173,O+,Paraná
Kaua,Pinto,male,22,90.6,177,O+,Rio Grande do Norte
Tânia,Sousa,female,81,88.2,159,B+,São Paulo
José,Alves,male,36,85.0,181,B+,São Paulo
Luan,Costa,male,26,67.3,177,A+,Paraná
Kauã,Santos,male,77,83.9,162,AB+,São Paulo
Vitor,Ferreira,male,21,86.0,171,O+,São Paulo
Carla,Sousa,female,30,91.0,166,O+,São Paulo
Kauê,Lima,male,23,80.6,185,B+,Rio Grande do Sul
Vinícius,Martins,male,19,97.5,183,B+,São Paulo
Tomás,Azevedo,male,43,87.7,172,O+,São Paulo
Maria,Costa,female,75,53.6,163,O+,Rio Grande do Sul
Eduarda,Ribeiro,female,23,52.2,169,O+,Minas Gerais
Caio,Azevedo,male,33,97.6,178,A+,Rio Grande do Norte
Anna,Alves,female,27,96.2,173,A+,São Paulo
Lucas,Cavalcanti,male,42,76.7,185,A+,Tocantins
Júlio,Ferreira,male,81,101.2,162,O+,São Paulo
Beatriz,Sousa,female,85,80.7,150,B+,São Paulo
José,Barbosa,male,62,108.9,179,O+,Rio Grande do Sul
Luís,Cavalcanti,male,80,93.6,166,A+,Rio de Janeiro
Júlia,Barros,female,53,66.0,160,O+,Espírito Santo
Tomás,Santos,male,29,108.1,180,B+,Rio de Janeiro
Evelyn,Rodrigues,female,45,91.0,158,A+,Santa Catarina
Vinicius,Barros,male,37,107.7,184,A+,São Paulo
Kaua,Martins,male,81,72.6,170,A+,Minas Gerais
Leila,Azevedo,female,78,92.8,164,A+,Paraná
Diogo,Gomes,male,69,75.9,177,O+,São Paulo
Kai,Barros,male,57,79.0,169,O+,Minas Gerais
Isabelle,Rodrigues,female,23,66.8,163,O+,São Paulo
Lavinia,Araujo,female,48,52.0,172,O+,Maranhão
Kauê,Souza,male,69,88.0,179,AB+,Paraná
Miguel,Barbosa,male,57,76.2,171,O+,Rio de Janeiro
Vitór,Gomes,male,71,101.7,177,A+,Distrito Federal
Daniel,Gomes,male,36,110.3,171,O-,Santa Catarina
Luan,Goncalves,male,74,68.4,167,O+,Rio Grande do Sul
Rodrigo,Souza,male,78,69.8,184,O+,São Paulo
Vitoria,Martins,female,29,84.1,166,B+,Rio de Janeiro
Alex,Gomes,male,62,83.3,169,AB+,Bahia
Enzo,Almeida,male,60,97.5,175,A-,Rio de Janeiro
Martim,Ferreira,male,36,74.1,182,O+,São Paulo
Breno,Alves,male,47,88.9,184,O-,São Paulo
Sarah,Araujo,female,43,92.6,172,A+,Ceará
Melissa,Sousa,female,50,69.2,168,B+,São Paulo
Antônio,Fernandes,male,66,69.0,175,A+,Goiás
Antônio,Carvalho,male,26,74.9,180,O+,São Paulo
Leonardo,Barros,male,54,94.2,167,A+,São Paulo
Yasmin,Pinto,female,77,104.5,151,O-,Goiás
Raissa,Cardoso,female,36,96.6,172,O+,São Paulo
Thiago,Oliveira,male,46,96.8,184,A+,Distrito Federal
Daniel,Ribeiro,male,52,112.2,187,B+,Minas Gerais
Estevan,Sousa,male,84,70.4,171,B+,Minas Gerais
Victor,Cardoso,male,74,69.0,179,B+,São Paulo
João,Ferreira,male,20,89.1,175,O+,Paraná
Larissa,Martins,female,47,91.1,168,O+,São Paulo
Caio,Cavalcanti,male,25,61.6,168,O+,Paraná
Bruna,Silva,female,41,88.1,163,O+,Minas Gerais
Douglas,Rocha,male,26,91.8,186,A-,Minas Gerais
Douglas,Barbosa,male,35,80.9,168,O+,São Paulo
Giovana,Almeida,female,24,93.0,159,AB+,Paraná
Emilly,Rodrigues,female,71,63.5,160,O+,Goiás
Thiago,Oliveira,male,70,91.1,169,O+,São Paulo
Bianca,Rodrigues,female,44,72.8,155,O+,Bahia
Leonardo,Pinto,male,35,109.5,188,A+,Rio Grande do Sul
Danilo,Araujo,male,41,80.8,183,O+,Rio de Janeiro
Luana,Oliveira,female,45,62.8,161,AB+,São Paulo
Diogo,Rocha,male,51,71.3,171,O+,Bahia
Letícia,Dias,female,74,87.0,171,B+,São Paulo
Caio,Barbosa,male,51,79.3,180,B+,São Paulo
Diego,Pinto,male,20,99.1,180,O+,São Paulo
Victor,Goncalves,male,38,100.9,184,O+,São Paulo
Lara,Goncalves,female,76,49.9,161,O+,São Paulo
Leonardo,Pereira,male,46,77.5,184,B+,São Paulo
Leonardo,Silva,male,67,65.5,163,O+,Ceará
Sofia,Martins,female,61,59.0,159,B+,Ceará
Livia,Barros,female,39,84.9,168,O+,Santa Catarina
Nicole,Correia,female,59,65.1,161,B+,Rio de Janeiro
Clara,Azevedo,female,67,88.1,155,B+,Pernambuco
Sarah,Cavalcanti,female,22,64.5,163,B+,Minas Gerais
Larissa,Pinto,female,84,69.1,168,AB+,Pernambuco
Matheus,Sousa,male,41,68.6,173,A+,São Paulo
Samuel,Rodrigues,male,69,106.5,174,A+,Santa Catarina
Mateus,Almeida,male,69,104.5,164,A+,São Paulo
